chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\main\java\module-info.java, module-info, 43, 3, 0.06976744186046512, 1.0, 0.06976744186046512
src\main\java\org\jfree\chart\ChartColor.java, ChartColor, 149, 146, 0.9798657718120806, 3.0, 0.32662192393736017
src\main\java\org\jfree\chart\ChartElement.java, ChartElement, 48, 39, 0.8125, 1.0, 0.8125
src\main\java\org\jfree\chart\ChartElementVisitor.java, ChartElementVisitor, 47, 38, 0.8085106382978723, 1.0, 0.8085106382978723
src\main\java\org\jfree\chart\ChartFactory.java, ChartFactory, 1870, 875, 0.4679144385026738, 77.0, 0.006076810889645114
src\main\java\org\jfree\chart\ChartHints.java, ChartHints, 93, 63, 0.6774193548387096, 4.0, 0.1693548387096774
src\main\java\org\jfree\chart\ChartRenderingInfo.java, ChartRenderingInfo, 231, 138, 0.5974025974025974, 21.0, 0.02844774273345702
src\main\java\org\jfree\chart\ChartTheme.java, ChartTheme, 51, 42, 0.8235294117647058, 1.0, 0.8235294117647058
src\main\java\org\jfree\chart\ChartTransferable.java, ChartTransferable, 231, 138, 0.5974025974025974, 10.0, 0.05974025974025974
src\main\java\org\jfree\chart\ChartUtils.java, ChartUtils, 630, 380, 0.6031746031746031, 9.0, 0.06701940035273368
src\main\java\org\jfree\chart\Drawable.java, Drawable, 43, 32, 0.7441860465116279, 1.0, 0.7441860465116279
src\main\java\org\jfree\chart\JFreeChart.java, JFreeChart, 1504, 774, 0.5146276595744681, 136.0, 0.003784026908635795
src\main\java\org\jfree\chart\package-info.java, package-info, 4, 3, 0.75, 1.0, 0.75
src\main\java\org\jfree\chart\StandardChartTheme.java, StandardChartTheme, 1644, 768, 0.46715328467153283, 200.0, 0.002335766423357664
src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java, AbstractAnnotation, 198, 128, 0.6464646464646465, 15.0, 0.0430976430976431
src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java, AbstractXYAnnotation, 186, 110, 0.5913978494623656, 16.0, 0.03696236559139785
src\main\java\org\jfree\chart\annotations\Annotation.java, Annotation, 57, 45, 0.7894736842105263, 1.0, 0.7894736842105263
src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java, CategoryAnnotation, 60, 45, 0.75, 1.0, 0.75
src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java, CategoryLineAnnotation, 390, 208, 0.5333333333333333, 27.0, 0.019753086419753086
src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java, CategoryPointerAnnotation, 480, 278, 0.5791666666666667, 33.0, 0.017550505050505052
src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java, CategoryTextAnnotation, 246, 130, 0.5284552845528455, 18.0, 0.02935862691960253
src\main\java\org\jfree\chart\annotations\package-info.java, package-info, 4, 3, 0.75, 1.0, 0.75
src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, 314, 209, 0.6656050955414012, 25.0, 0.026624203821656048
src\main\java\org\jfree\chart\annotations\XYAnnotation.java, XYAnnotation, 64, 48, 0.75, 1.0, 0.75
src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java, XYAnnotationBoundsInfo, 64, 52, 0.8125, 1.0, 0.8125
src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java, XYBoxAnnotation, 342, 185, 0.5409356725146199, 27.0, 0.020034654537578515
src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java, XYDataImageAnnotation, 335, 174, 0.5194029850746269, 25.0, 0.020776119402985075
src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java, XYDrawableAnnotation, 270, 144, 0.5333333333333333, 19.0, 0.028070175438596492
src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java, XYImageAnnotation, 272, 145, 0.5330882352941176, 20.0, 0.02665441176470588
src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java, XYLineAnnotation, 331, 167, 0.5045317220543807, 25.0, 0.020181268882175227
src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java, XYPointerAnnotation, 494, 273, 0.5526315789473685, 36.0, 0.015350877192982457
src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java, XYPolygonAnnotation, 321, 160, 0.4984423676012461, 26.0, 0.01917086029235562
src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java, XYShapeAnnotation, 272, 130, 0.47794117647058826, 19.0, 0.02515479876160991
src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java, XYTextAnnotation, 583, 339, 0.58147512864494, 48.0, 0.012114065180102917
src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java, XYTitleAnnotation, 359, 163, 0.45403899721448465, 35.0, 0.012972542777556705
src\main\java\org\jfree\chart\api\HorizontalAlignment.java, HorizontalAlignment, 48, 37, 0.7708333333333334, 1.0, 0.7708333333333334
