chemin, paquet, paquet_LOC, paquet_CLOL, paquet_DC, WCP, paquet_BC
src\main\java\org\jfree\chart\annotations, main.java.org.jfree.chart.annotations, 5642, 3136, 0.5558312655086849, 419.0, 0.001326566266130513
src\main\java\org\jfree\chart\api, main.java.org.jfree.chart.api, 1359, 867, 0.6379690949227373, 75.0, 0.008506254598969832
src\main\java\org\jfree\chart\axis, main.java.org.jfree.chart.axis, 17608, 8797, 0.499602453430259, 1550.0, 3.223241635033929E-4
src\main\java\org\jfree\chart\block, main.java.org.jfree.chart.block, 4980, 2651, 0.5323293172690763, 446.0, 0.0011935634916347
src\main\java\org\jfree\chart\date, main.java.org.jfree.chart.date, 1330, 847, 0.6368421052631579, 99.0, 0.006432748538011695
src\main\java\org\jfree\chart\encoders, main.java.org.jfree.chart.encoders, 745, 505, 0.6778523489932886, 25.0, 0.027114093959731543
src\main\java\org\jfree\chart\entity, main.java.org.jfree.chart.entity, 2581, 1596, 0.6183649748159628, 204.0, 0.003031200856940994
src\main\java\org\jfree\chart\event, main.java.org.jfree.chart.event, 1136, 877, 0.7720070422535211, 45.0, 0.017155712050078247
src\main\java\org\jfree\chart\imagemap, main.java.org.jfree.chart.imagemap, 652, 419, 0.6426380368098159, 36.0, 0.01785105657805044
src\main\java\org\jfree\chart\internal, main.java.org.jfree.chart.internal, 2147, 940, 0.43782021425244527, 206.0, 0.0021253408458856565
src\main\java\org\jfree\chart\labels, main.java.org.jfree.chart.labels, 5475, 3310, 0.6045662100456621, 370.0, 0.001633962729853141
src\main\java\org\jfree\chart\legend, main.java.org.jfree.chart.legend, 3356, 1882, 0.5607866507747318, 312.0, 0.0017973931114574737
src\main\java\org\jfree\chart\plot\compass, main.java.org.jfree.chart.plot.compass, 2333, 1234, 0.528932704672096, 199.0, 0.0026579532898095273
src\main\java\org\jfree\chart\plot\dial, main.java.org.jfree.chart.plot.dial, 5544, 3143, 0.5669191919191919, 423.0, 0.001340234496262865
src\main\java\org\jfree\chart\plot\flow, main.java.org.jfree.chart.plot.flow, 759, 325, 0.4281949934123847, 90.0, 0.004757722149026497
src\main\java\org\jfree\chart\plot\pie, main.java.org.jfree.chart.plot.pie, 4333, 2262, 0.5220401569351488, 417.0, 0.0012518948607557526
src\main\java\org\jfree\chart\plot, main.java.org.jfree.chart.plot, 25028, 12979, 0.5185791913057376, 3731.0, 1.9930022725047565E-4
src\main\java\org\jfree\chart\renderer\category, main.java.org.jfree.chart.renderer.category, 12580, 6097, 0.4846581875993641, 1032.0, 4.6963002674356983E-4
src\main\java\org\jfree\chart\renderer\xy, main.java.org.jfree.chart.renderer.xy, 18269, 8862, 0.48508402211396356, 1496.0, 3.2425402547724835E-4
src\main\java\org\jfree\chart\renderer, main.java.org.jfree.chart.renderer, 5738, 3300, 0.5751132798884628, 3066.0, 0.0010689837916142433
src\main\java\org\jfree\chart\swing\editor, main.java.org.jfree.chart.swing.editor, 3421, 1663, 0.4861151710026308, 291.0, 0.0016704988694248482
src\main\java\org\jfree\chart\swing, main.java.org.jfree.chart.swing, 4962, 2482, 0.5002015316404675, 730.0, 0.0011394112338051652
